PlayerName,Team,BirthDate,BirthCity,College,Height,Weight,PhotoUrl,Position,JerseyNo,ExperienceYear
Jared Terrell,MIN,2/10/1995,No record,Rhode Island,75,227,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002078.png,PG,3,0
Wenyen Gabriel,SAC,3/26/1997,No record,Kentucky,81,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002080.png,PF,32,0
Daryl Macon,DAL,11/29/1995,No record,Arkansas,75,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002086.png,PG,3,0
Yante Maten,MIA,8/14/1996,No record,Georgia,80,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002087.png,PF,0,0
J.P. Macura,CHA,6/5/1995,No record,Xavier,77,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002089.png,PG,55,0
Bonzie Colson,MIL,1/12/1996,No record,Notre Dame,78,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,50,0
Rawle Alkins,CHI,10/29/1997,No record,Arizona,77,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002105.png,PG,20,0
Gary Clark,HOU,11/16/1994,No record,Cincinnati,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002109.png,PF,6,0
Theo Pinson,BKN,11/5/1995,No record,North Carolina,78,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002118.png,PG,10,0
Donte Grantham,OKC,3/19/1995,No record,Clemson,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,15,0
Trevon Bluiett,NOP,11/4/1994,No record,Xavier,78,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002124.png,PF,5,0
Mitch Creek,BKN,4/27/1992,No record,No College,78,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PG,55,0
Brandon Goodwin,DEN,10/2/1995,No record,Florida Gulf Coast,74,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PG,6,0
Jordan Loyd,TOR,7/27/1993,No record,Indianapolis,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002174.png,PG,8,0
Emanuel Terry,PHO,8/21/1996,No record,Lincoln Memorial,81,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,10,0
Haywood Highsmith,PHI,12/9/1996,No record,Wheeling Jesuit,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,7,0
Joe Chealey,CHA,11/1/1995,No record,Charleston,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002231.png,PG,31,0
Ryan Broekhoff,DAL,8/23/1990,No record,Valparaiso,79,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002244.png,PG,45,0
Stephan Hicks,IND,4/2/1992,No record,Cal State Northridge,78,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,PF,17,0
